trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 0.5}",25,1,-113.04896570177907,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 1}",1
2,False,"{'e': 0.8999999999999999, 'a': 0.5}",25,3,-119.03330089113764,"{0: 11, 1: 2, 2: 7, 3: 1, 4: 1}",1
3,False,"{'e': 0.8499999999999999, 'a': 0.5}",25,0,-119.95810092103781,"{0: 13, 1: 3, 2: 6, 3: 3, 4: 0}",0
4,False,"{'e': 0.7999999999999998, 'a': 0.5}",20,12,0.6405456619487475,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
5,False,"{'e': 0.7499999999999998, 'a': 0.5}",20,0,-192.4689972155222,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 4}",0
6,False,"{'e': 0.6999999999999997, 'a': 0.5}",25,0,-69.13659626845887,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
7,False,"{'e': 0.6499999999999997, 'a': 0.5}",25,0,-87.3563989271072,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
8,False,"{'e': 0.5999999999999996, 'a': 0.5}",20,0,-86.90812831873815,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
9,False,"{'e': 0.5499999999999996, 'a': 0.5}",20,10,-42.5761487876227,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
10,False,"{'e': 0.4999999999999996, 'a': 0.5}",30,9,-46.49928595640096,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 1}",1
11,False,"{'e': 0.4499999999999996, 'a': 0.5}",30,10,-31.20728627402364,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",1
12,False,"{'e': 0.39999999999999963, 'a': 0.5}",30,0,-23.798858158691615,"{0: 26, 1: 1, 2: 1, 3: 2, 4: 0}",0
13,False,"{'e': 0.34999999999999964, 'a': 0.5}",30,14,5.165619641697079,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
14,False,"{'e': 0.29999999999999966, 'a': 0.5}",20,4,-28.233395233011592,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 0}",1
15,False,"{'e': 0.24999999999999967, 'a': 0.5}",20,4,6.447984829796903,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
16,False,"{'e': 0.19999999999999968, 'a': 0.5}",25,1,-2.812669558539351,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 0}",1
17,False,"{'e': 0.1499999999999997, 'a': 0.5}",25,0,27.269903084587195,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
18,False,"{'e': 0.09999999999999969, 'a': 0.5}",25,7,26.55893823169589,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'e': 0.049999999999999684, 'a': 0.5}",30,11,17.9386305848664,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'e': -3.191891195797325e-16, 'a': 0.5}",30,0,39.848718535249006,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'e': 0, 'a': 0}",20,0,11.344686881888267,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
2,True,"{'e': 0, 'a': 0}",25,15,14.884962139740198,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'e': 0, 'a': 0}",25,5,-7.613608262523133,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'e': 0, 'a': 0}",20,7,-35.05124584746978,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
5,True,"{'e': 0, 'a': 0}",30,22,15.553810441544922,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'e': 0, 'a': 0}",25,0,-15.87950550483854,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
7,True,"{'e': 0, 'a': 0}",20,0,-11.348375122016426,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
8,True,"{'e': 0, 'a': 0}",20,14,10.78321489713171,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'e': 0, 'a': 0}",20,6,-17.634885542580115,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'e': 0, 'a': 0}",20,0,32.1659053114275,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
