trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.99998, 'a': 0.38}",25,0,-94.649979585714,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 0}",0
2,False,"{'e': 0.9999399999999999, 'a': 0.38}",30,7,-116.14740232667016,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 1}",1
3,False,"{'e': 0.99988, 'a': 0.38}",25,0,-135.69317590700723,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
4,False,"{'e': 0.9998, 'a': 0.38}",30,0,-51.42492662940766,"{0: 19, 1: 7, 2: 4, 3: 0, 4: 0}",0
5,False,"{'e': 0.9997, 'a': 0.38}",30,0,-91.35367831837573,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
6,False,"{'e': 0.99958, 'a': 0.38}",30,0,-165.73190495027902,"{0: 19, 1: 3, 2: 3, 3: 3, 4: 2}",0
7,False,"{'e': 0.99944, 'a': 0.38}",25,0,-52.262744016264804,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
8,False,"{'e': 0.99928, 'a': 0.38}",30,7,-99.11357862131005,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 1}",1
9,False,"{'e': 0.9991, 'a': 0.38}",25,0,-66.6910800351911,"{0: 14, 1: 6, 2: 5, 3: 0, 4: 0}",0
10,False,"{'e': 0.9989, 'a': 0.38}",20,0,-128.5877066239315,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
11,False,"{'e': 0.99868, 'a': 0.38}",25,0,-110.58017390244554,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
12,False,"{'e': 0.99844, 'a': 0.38}",20,0,-122.26220549454641,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
13,False,"{'e': 0.99818, 'a': 0.38}",25,0,-206.9599633526145,"{0: 10, 1: 1, 2: 10, 3: 2, 4: 2}",0
14,False,"{'e': 0.9979, 'a': 0.38}",25,0,-174.43482463870237,"{0: 15, 1: 2, 2: 2, 3: 4, 4: 2}",0
15,False,"{'e': 0.9976, 'a': 0.38}",30,0,-194.3961329405738,"{0: 16, 1: 5, 2: 3, 3: 4, 4: 2}",0
16,False,"{'e': 0.99728, 'a': 0.38}",25,0,-136.46853939505974,"{0: 16, 1: 4, 2: 1, 3: 2, 4: 2}",0
17,False,"{'e': 0.99694, 'a': 0.38}",20,0,-63.87417091341817,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
18,False,"{'e': 0.99658, 'a': 0.38}",20,0,-135.96319273523196,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
19,False,"{'e': 0.9962, 'a': 0.38}",20,0,-70.40155111449582,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
20,False,"{'e': 0.9958, 'a': 0.38}",20,0,-81.42821601845873,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
21,False,"{'e': 0.99538, 'a': 0.38}",25,0,-94.15723911195768,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
22,False,"{'e': 0.99494, 'a': 0.38}",25,0,-63.23641525088559,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
23,False,"{'e': 0.99448, 'a': 0.38}",30,0,-229.88150365612483,"{0: 15, 1: 2, 2: 8, 3: 2, 4: 3}",0
24,False,"{'e': 0.994, 'a': 0.38}",20,0,-95.49905824327072,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
25,False,"{'e': 0.9935, 'a': 0.38}",20,0,-149.32440350919524,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
26,False,"{'e': 0.9929800000000001, 'a': 0.38}",20,0,-86.3240242333245,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
27,False,"{'e': 0.9924400000000001, 'a': 0.38}",25,0,-156.64086169241165,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
28,False,"{'e': 0.9918800000000001, 'a': 0.38}",20,0,-170.46656610201302,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
29,False,"{'e': 0.9913000000000001, 'a': 0.38}",20,0,-192.80747470283453,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 3}",0
30,False,"{'e': 0.9907, 'a': 0.38}",30,0,-359.1817235412439,"{0: 12, 1: 4, 2: 5, 3: 3, 4: 6}",0
31,False,"{'e': 0.9900800000000001, 'a': 0.38}",30,4,-109.89908142378519,"{0: 11, 1: 7, 2: 7, 3: 1, 4: 0}",1
