trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.99998, 'a': 0.38}",25,0,-169.31844101567185,"{0: 17, 1: 1, 2: 2, 3: 2, 4: 3}",0
2,False,"{'e': 0.9999399999999999, 'a': 0.38}",30,21,-40.076640191330256,"{0: 6, 1: 0, 2: 1, 3: 2, 4: 0}",1
3,False,"{'e': 0.99988, 'a': 0.38}",25,0,-96.7658651202736,"{0: 15, 1: 6, 2: 2, 3: 1, 4: 1}",0
4,False,"{'e': 0.9998, 'a': 0.38}",25,0,-126.21306556743507,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
5,False,"{'e': 0.9997, 'a': 0.38}",20,0,-181.9096802097866,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
6,False,"{'e': 0.99958, 'a': 0.38}",35,0,-205.6689245860167,"{0: 20, 1: 3, 2: 7, 3: 3, 4: 2}",0
7,False,"{'e': 0.99944, 'a': 0.38}",35,0,-261.4704687700391,"{0: 18, 1: 4, 2: 6, 3: 4, 4: 3}",0
8,False,"{'e': 0.99928, 'a': 0.38}",20,2,-65.04469645473887,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 0}",1
9,False,"{'e': 0.9991, 'a': 0.38}",30,6,-59.487576679752294,"{0: 16, 1: 6, 2: 1, 3: 0, 4: 1}",1
10,False,"{'e': 0.9989, 'a': 0.38}",30,0,-212.14709312879216,"{0: 15, 1: 6, 2: 4, 3: 2, 4: 3}",0
11,False,"{'e': 0.99868, 'a': 0.38}",20,0,-211.07881142039315,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 5}",0
12,False,"{'e': 0.99844, 'a': 0.38}",20,0,-100.82697614218961,"{0: 9, 1: 4, 2: 5, 3: 2, 4: 0}",0
13,False,"{'e': 0.99818, 'a': 0.38}",25,9,-42.747421546062206,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 0}",1
14,False,"{'e': 0.9979, 'a': 0.38}",20,13,-10.439942117609874,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
15,False,"{'e': 0.9976, 'a': 0.38}",25,0,-264.88376070411795,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 5}",0
16,False,"{'e': 0.99728, 'a': 0.38}",25,0,-91.23976736826859,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
17,False,"{'e': 0.99694, 'a': 0.38}",35,0,-177.21491907065754,"{0: 20, 1: 6, 2: 4, 3: 3, 4: 2}",0
18,False,"{'e': 0.99658, 'a': 0.38}",30,0,-176.71514809821306,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
19,False,"{'e': 0.9962, 'a': 0.38}",25,0,-149.0476172607843,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
20,False,"{'e': 0.9958, 'a': 0.38}",30,3,-113.86043027479118,"{0: 16, 1: 3, 2: 6, 3: 1, 4: 1}",1
1,True,"{'e': 0, 'a': 0}",20,0,-139.5003731918916,"{0: 13, 1: 2, 2: 0, 3: 3, 4: 2}",0
2,True,"{'e': 0, 'a': 0}",25,0,-149.31211737677938,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
3,True,"{'e': 0, 'a': 0}",20,0,-112.81900259266355,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
4,True,"{'e': 0, 'a': 0}",25,10,1.7805438021104683,"{0: 12, 1: 3, 2: 0, 3: 0, 4: 0}",1
5,True,"{'e': 0, 'a': 0}",25,0,-110.80084935603882,"{0: 14, 1: 3, 2: 5, 3: 3, 4: 0}",0
6,True,"{'e': 0, 'a': 0}",20,0,-145.25691365605272,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
7,True,"{'e': 0, 'a': 0}",30,0,-263.24193120185146,"{0: 14, 1: 3, 2: 7, 3: 2, 4: 4}",0
8,True,"{'e': 0, 'a': 0}",25,0,-168.16487322496423,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
9,True,"{'e': 0, 'a': 0}",20,0,-61.81796593704416,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
10,True,"{'e': 0, 'a': 0}",25,0,-129.4193779833177,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
